surname,population,best_rank,hanja_variants,source_method,source_url
심,271749,32,沈,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
노,314927,33,盧|魯,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
하,230481,35,河,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
곽,203188,36,郭,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
성,199124,37,成,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
차,194782,38,車,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
주,232006,39,朱|周,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
우,194713,40,禹,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
구,193080,41,具,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
민,171740,45,閔,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
류,163703,47,柳,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
나,160946,48,羅,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
진,176900,49,陳|秦,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
지,153491,50,池,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
엄,144425,51,嚴,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
채,131557,52,蔡,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
원,129522,53,元,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
천,121780,54,千,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
방,128351,55,方|房,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
공,91869,56,孔,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
현,88824,58,玄,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
함,80659,59,咸,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
변,138789,60,卞|邊,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
염,69387,61,廉,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
여,80656,64,呂|余,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
추,60483,65,秋,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
도,56850,67,都,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
소,52427,68,蘇,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
석,49203,70,石,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
선,42733,71,宣,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
설,42646,72,薛,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
마,38949,73,馬,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
길,38173,74,吉,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
연,34766,76,延,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
위,31342,78,魏,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
표,30743,79,表,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
명,29110,80,明,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
기,28829,81,奇,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
반,28062,82,潘,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
라,25960,83,羅,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
왕,25565,84,王,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
금,25432,85,琴,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
옥,25107,86,玉,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
육,23455,87,陸,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
인,22363,88,印,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
맹,22028,89,孟,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
제,21976,90,諸,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
모,21534,91,牟,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
남궁,21308,93,南宮,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
탁,21099,94,卓,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
국,20547,95,鞠,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
어,18849,98,魚,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
은,16894,99,殷,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
편,16689,100,片,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
