rank,surname,hanja,population,source_year,source_method,source_url
65,추,秋,60483,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
66,노,魯,58698,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
67,도,都,56850,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
68,소,蘇,52427,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
69,신,愼,51865,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
70,석,石,49203,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
71,선,宣,42733,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
72,설,薛,42646,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
73,마,馬,38949,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
74,길,吉,38173,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
75,주,周,37240,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
76,연,延,34766,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
77,방,房,33520,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
78,위,魏,31342,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
79,표,表,30743,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
80,명,明,29110,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
81,기,奇,28829,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
82,반,潘,28062,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
83,라,羅,25960,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
84,왕,王,25565,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
85,금,琴,25432,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
86,옥,玉,25107,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
87,육,陸,23455,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
88,인,印,22363,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
89,맹,孟,22028,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
90,제,諸,21976,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
91,모,牟,21534,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
92,장,蔣,21508,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
93,남궁,南宮,21308,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
94,탁,卓,21099,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
95,국,鞠,20547,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
96,여,余,20134,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
97,진,秦,19301,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
98,어,魚,18849,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
99,은,殷,16894,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
100,편,片,16689,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
